ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
701,彩,彩,U+5F69,U+5F69 U+E0101,CID+13783
702,採,採,U+63A1,U+63A1 U+E0101,CID+13784
703,済,濟,U+6FDF,,
704,祭,祭,U+796D,,
705,斎,齋,U+9F4B,,
706,細,細,U+7D30,,
707,菜,菜,U+83DC,U+83DC U+E0101,CID+13786
708,最,最,U+6700,,
709,裁,裁,U+88C1,,
710,債,債,U+50B5,,
711,催,催,U+50AC,,
712,塞,塞,U+585E,,
713,歳,歳,U+6B73,,
714,載,載,U+8F09,,
715,際,際,U+969B,,
716,埼,埼,U+57FC,,
717,在,在,U+5728,,
718,材,材,U+6750,,
719,剤,劑,U+5291,,
720,財,財,U+8CA1,,
721,罪,罪,U+7F6A,U+7F6A U+E0101,CID+13449
722,崎,崎,U+5D0E,,
723,作,作,U+4F5C,,
724,削,削,U+524A,U+524A U+E0101,CID+13789
725,昨,昨,U+6628,,
726,柵,柵,U+67F5,,
727,索,索,U+7D22,,
728,策,策,U+7B56,,
729,酢,酢,U+9162,,
730,搾,搾,U+643E,,
731,錯,錯,U+932F,,
732,咲,咲,U+54B2,U+54B2 U+E0101,CID+13788
733,冊,冊,U+518A,,
734,札,札,U+672D,,
735,刷,刷,U+5237,,
736,刹,刹,U+5239,,
737,拶,拶,U+62F6,,
738,殺,殺,U+F970,,
739,察,察,U+5BDF,,
740,撮,撮,U+64AE,,
741,擦,擦,U+64E6,,
742,雑,雜,U+96DC,,
743,皿,皿,U+76BF,,
744,三,三,U+4E09,,
745,山,山,U+5C71,,
746,参,參,U+53C3,,
747,桟,棧,U+68E7,,
748,蚕,蠶,U+8836,,
749,惨,慘,U+6158,,
750,産,產,U+7522,,
751,傘,傘,U+5098,,
752,散,散,U+6563,,
753,算,算,U+7B97,,
754,酸,酸,U+9178,,
755,賛,贊,U+8D0A,,
756,残,殘,U+6B98,,
757,斬,斬,U+65AC,,
758,暫,暫,U+66AB,,
759,士,士,U+58EB,,
760,子,子,U+5B50,,
761,支,支,U+652F,,
762,止,止,U+6B62,,
763,氏,氏,U+6C0F,,
764,仕,仕,U+4ED5,,
765,史,史,U+53F2,U+53F2 U+E0101,CID+13451
766,司,司,U+53F8,,
767,四,四,U+56DB,,
768,市,市,U+5E02,,
769,矢,矢,U+77E2,,
770,旨,旨,U+65E8,,
771,死,死,U+6B7B,,
772,糸,絲,U+7D72,,
773,至,至,U+81F3,,
774,伺,伺,U+4F3A,,
775,志,志,U+5FD7,,
776,私,私,U+79C1,,
777,使,使,U+4F7F,U+4F7F U+E0101,CID+13450
778,刺,刺,U+523A,,
779,始,始,U+59CB,,
780,姉,姉,U+59C9,,
781,枝,枝,U+679D,,
782,祉,祉,U+FA4D,,
